"local.fichajes.fichaje.Tipo","local.fichajes.fichaje.Fecha","local.fichajes.fichaje.Hora"
"Entrada","Jun 08 2020",1107
"Salida","Jun 08 2020",1107
"Entrada","Jun 08 2020",1109
"Entrada","Jun 08 2020",1239
"Salida","Jun 08 2020",1239
"Entrada","Jun 08 2020",1239
"Salida","Jun 08 2020",1239
"Entrada","Jun 08 2020",1239
"Salida","Jun 08 2020",1239
"Entrada","Jun 11 2020",1109
"Salida","Jun 11 2020",1109
"Entrada","Jun 11 2020",1118
"Salida","Jun 11 2020",1118
"Entrada","Jun 11 2020",1125
"Salida","Jun 11 2020",1125
"Entrada","Jun 11 2020",1127
"Salida","Jun 11 2020",1127